sub-ADS221_ses-wave2_task-rest_bold.nii.gz is missing for sub-ADS221, ses-wave2

sub-ADS221_ses-wave2_task-rest_bold.json is missing for sub-ADS221, ses-wave2

sub-ADS221_ses-wave2_task-rest_run-01_bold.nii.gz is an unrecognized file in sub-ADS221, ses-wave2

sub-ADS221_ses-wave2_task-rest_run-02_bold.json is an unrecognized file in sub-ADS221, ses-wave2

sub-ADS221_ses-wave2_task-rest_run-01_bold.json is an unrecognized file in sub-ADS221, ses-wave2

sub-ADS221_ses-wave2_task-rest_run-02_bold.nii.gz is an unrecognized file in sub-ADS221, ses-wave2

func is missing for ADS711, seswave2

func is missing for ADS6724, seswave2

sub-ADS6211_ses-wave3_task-rest_bold.json is missing for sub-ADS6211, ses-wave3

sub-ADS6211_ses-wave3_task-rest_bold.nii.gz is missing for sub-ADS6211, ses-wave3

sub-ADS6211_ses-wave3_task-rest_run-01_bold.json is an unrecognized file in sub-ADS6211, ses-wave3

sub-ADS6211_ses-wave3_task-rest_run-02_bold.json is an unrecognized file in sub-ADS6211, ses-wave3

sub-ADS6211_ses-wave3_task-rest_run-02_bold.nii.gz is an unrecognized file in sub-ADS6211, ses-wave3

sub-ADS6211_ses-wave3_task-rest_run-01_bold.nii.gz is an unrecognized file in sub-ADS6211, ses-wave3

